zone_id,sample_id,rssi_ap1,rssi_ap2,rssi_ap3,rssi_ap4,latency_ap1,latency_ap2,latency_ap3,latency_ap4
1,37,-46.51,-89.5,-70.71,-79.98,76.27,-1.0,183.52,121.82
1,38,-43.94,-81.88,-77.9,-88.53,73.14,152.1,179.96,-1.0
1,39,-45.86,-80.62,-77.85,-85.69,72.62,153.47,186.2,-1.0
1,40,-43.47,-76.81,-77.92,-85.32,71.74,135.45,181.2,-1.0
1,41,-44.29,-85.53,-69.04,-85.4,72.43,-1.0,164.11,-1.0
1,42,-39.68,-87.39,-71.95,-81.08,71.35,-1.0,183.59,122.3
1,43,-44.21,-76.91,-68.76,-89.46,73.5,137.04,176.89,-1.0
1,44,-45.04,-80.91,-72.89,-87.97,73.57,149.23,184.78,-1.0
1,45,-40.3,-84.65,-69.64,-81.64,65.84,158.46,167.96,122.29
1,46,-38.35,-84.02,-74.08,-81.99,67.84,153.57,186.24,117.87
1,47,-38.79,-84.53,-78.86,-85.82,69.36,150.71,184.98,-1.0
1,48,-41.46,-87.65,-73.65,-83.87,72.39,-1.0,175.62,126.21
1,49,-45.18,-82.02,-68.35,-87.34,69.6,153.61,169.39,-1.0
1,50,-43.21,-91.49,-65.58,-90.89,72.19,-1.0,165.11,-1.0
1,51,-40.4,-84.46,-72.82,-80.09,69.01,146.27,174.57,117.77
1,52,-48.93,-86.08,-72.15,-85.46,76.17,-1.0,176.85,-1.0
1,53,-47.48,-89.15,-72.91,-76.24,78.19,-1.0,174.99,117.73
1,54,-44.97,-78.22,-74.24,-75.78,72.35,136.91,186.92,109.22
1,55,-38.35,-78.7,-71.3,-83.47,66.08,137.98,167.42,122.9
1,56,-51.38,-72.48,-75.19,-84.98,74.94,136.69,176.32,121.23
1,57,-46.17,-86.43,-71.82,-84.51,75.62,-1.0,174.13,126.37
1,58,-40.55,-85.3,-81.75,-91.98,68.16,-1.0,182.92,-1.0
1,59,-44.53,-84.9,-76.08,-89.33,75.9,155.13,191.81,-1.0
1,60,-46.67,-86.55,-74.54,-87.6,72.66,-1.0,187.98,-1.0
1,61,-51.79,-80.97,-74.86,-82.24,77.23,149.88,188.18,120.04
1,62,-44.03,-87.0,-68.67,-86.48,74.35,-1.0,167.3,-1.0
1,63,-43.83,-82.31,-72.29,-88.19,75.18,153.69,177.15,-1.0
1,64,-42.31,-84.91,-72.12,-87.96,68.98,148.48,174.6,-1.0
1,65,-42.1,-75.53,-75.29,-86.57,69.4,144.8,189.52,-1.0
1,66,-43.67,-86.47,-80.19,-88.15,73.21,-1.0,194.24,-1.0
1,67,-47.13,-86.21,-68.87,-79.94,77.44,-1.0,172.57,116.72
1,68,-45.88,-83.6,-74.42,-83.96,74.37,155.24,177.77,120.2
1,69,-43.49,-84.19,-68.08,-89.44,71.1,147.95,168.37,-1.0
1,70,-49.42,-78.76,-77.71,-80.66,74.86,142.37,193.75,122.88
1,71,-51.01,-77.81,-73.08,-82.69,80.52,150.46,174.36,115.46
1,72,-41.94,-80.2,-75.64,-80.65,72.78,140.29,176.98,118.61
1,73,-45.85,-86.64,-69.52,-85.94,71.98,-1.0,170.59,-1.0
1,74,-42.14,-86.58,-74.13,-81.71,71.48,-1.0,176.03,121.13
1,75,-47.62,-83.13,-71.5,-82.43,74.65,156.15,177.24,117.23
1,76,-45.38,-81.33,-69.66,-81.81,73.17,150.47,173.63,119.09
1,77,-42.57,-89.62,-73.11,-87.16,69.98,-1.0,173.59,-1.0
1,78,-45.14,-83.01,-71.21,-83.5,73.17,150.71,170.42,117.04
1,79,-50.19,-79.26,-72.56,-80.42,81.01,139.93,175.79,121.13
1,80,-52.16,-86.89,-71.97,-83.33,77.7,-1.0,171.36,124.73
1,81,-42.37,-81.75,-69.66,-81.34,69.54,155.02,178.22,121.68
1,82,-41.48,-73.62,-79.93,-82.91,71.46,132.73,190.61,115.77
1,83,-48.9,-86.71,-69.08,-85.67,75.35,-1.0,179.56,-1.0
1,84,-48.6,-83.33,-74.47,-80.12,79.57,154.32,186.35,122.58
1,85,-40.24,-82.15,-68.51,-79.66,68.68,149.3,166.19,113.37
1,86,-45.93,-84.97,-77.74,-83.43,70.25,147.8,179.96,121.82
1,87,-50.43,-88.12,-69.61,-82.19,80.0,-1.0,169.2,118.49
1,88,-46.91,-88.17,-68.27,-82.39,70.93,-1.0,179.94,113.33
1,89,-48.87,-81.36,-69.34,-78.62,73.12,147.95,174.65,116.81
1,90,-46.61,-85.16,-68.91,-83.15,74.54,-1.0,173.55,123.87
1,91,-49.47,-88.47,-72.68,-74.74,73.5,-1.0,179.5,111.35
1,92,-50.72,-85.69,-74.28,-82.7,75.07,-1.0,181.63,119.19
1,93,-47.22,-84.38,-77.9,-85.79,71.97,153.51,182.97,-1.0
1,94,-40.8,-92.6,-66.32,-84.75,67.82,-1.0,161.2,124.46
1,95,-44.17,-83.21,-75.86,-80.07,74.09,147.18,188.76,117.16
1,96,-44.51,-89.91,-75.78,-80.46,74.13,-1.0,183.65,117.01
1,97,-45.67,-81.86,-75.49,-86.0,75.83,146.92,190.77,-1.0
1,98,-47.96,-88.75,-66.82,-86.76,71.82,-1.0,172.98,-1.0
1,99,-32.7,-83.16,-67.05,-83.73,62.63,153.45,172.66,124.02
1,100,-45.78,-81.28,-73.25,-86.31,71.73,152.14,177.67,-1.0
1,101,-45.56,-79.29,-68.17,-90.43,74.64,143.3,178.52,-1.0
1,102,-50.28,-83.29,-76.72,-77.64,75.23,154.59,180.0,113.6
1,103,-40.34,-89.75,-72.48,-91.4,66.57,-1.0,169.43,-1.0
1,104,-52.99,-80.58,-72.34,-86.43,76.54,152.23,171.97,-1.0
1,105,-41.53,-84.81,-80.06,-84.79,67.17,155.83,189.56,123.98
1,106,-41.69,-86.73,-66.84,-87.03,66.79,-1.0,173.31,-1.0
1,107,-54.31,-81.36,-69.73,-82.4,81.58,146.39,168.5,121.05
1,108,-45.83,-70.02,-66.49,-85.75,73.63,132.42,165.99,-1.0
1,109,-39.67,-82.48,-70.81,-77.58,67.15,153.29,171.57,114.02
1,110,-41.43,-84.36,-73.37,-73.74,69.23,143.71,177.21,108.19
1,111,-50.8,-81.14,-74.85,-79.04,79.42,144.1,183.56,111.22
1,112,-42.27,-79.56,-73.48,-84.53,67.58,139.57,182.08,127.15
1,113,-38.02,-81.26,-74.02,-87.87,68.38,151.29,181.93,-1.0
1,114,-49.72,-85.18,-73.79,-76.94,76.55,-1.0,176.17,114.47
1,115,-42.06,-82.18,-79.89,-83.62,70.97,154.53,193.57,120.0
1,116,-51.49,-82.35,-78.28,-83.13,81.86,142.05,194.97,120.45
1,117,-56.31,-82.88,-67.48,-84.49,85.45,153.64,174.17,121.54
1,118,-40.59,-79.22,-80.52,-89.71,71.21,139.09,187.23,-1.0
1,119,-48.01,-82.06,-69.23,-87.67,74.21,142.16,177.29,-1.0
1,120,-42.71,-87.71,-74.85,-79.72,73.61,-1.0,183.72,118.44
1,121,-40.72,-83.72,-76.33,-91.11,69.56,149.51,179.0,-1.0
1,122,-42.3,-84.68,-68.59,-84.81,69.06,153.92,175.36,118.67
1,123,-40.68,-88.82,-78.22,-90.6,69.92,-1.0,189.31,-1.0
1,124,-41.28,-80.7,-72.17,-88.58,70.66,145.08,185.97,-1.0
1,125,-41.63,-83.52,-71.61,-87.99,68.1,156.12,175.43,-1.0
1,126,-47.53,-84.23,-69.57,-85.81,72.98,146.8,175.16,-1.0
1,127,-51.37,-80.68,-66.43,-90.43,81.58,150.75,168.94,-1.0
1,128,-46.84,-82.89,-76.0,-87.71,77.29,156.74,182.18,-1.0
1,129,-42.38,-86.22,-69.87,-84.21,74.02,-1.0,176.56,124.54
1,130,-43.7,-84.47,-79.12,-82.82,69.49,147.46,195.36,125.01
1,131,-44.99,-77.4,-71.52,-88.14,73.9,144.08,178.39,-1.0
1,132,-38.27,-81.87,-76.39,-82.94,65.54,141.73,181.36,124.15
1,133,-44.15,-87.93,-74.3,-85.94,73.36,-1.0,183.57,-1.0
1,134,-51.3,-85.71,-78.4,-85.26,77.9,-1.0,192.83,-1.0
1,135,-42.14,-81.25,-71.73,-82.93,73.85,153.53,177.16,119.12
1,136,-37.6,-79.66,-78.06,-89.59,69.54,143.18,184.84,-1.0
1,137,-35.72,-80.23,-68.65,-79.07,67.35,145.52,169.69,117.91
1,138,-41.08,-74.26,-75.95,-92.37,67.43,142.36,177.14,-1.0
1,139,-44.77,-82.58,-79.82,-77.7,69.19,148.23,194.55,119.58
1,140,-37.97,-79.43,-74.42,-84.72,64.76,149.35,183.21,127.01
1,141,-36.63,-78.46,-73.75,-79.28,63.66,146.12,183.24,112.67
1,142,-38.55,-79.8,-76.25,-81.04,69.92,142.14,185.48,116.03
1,143,-39.93,-96.04,-70.65,-88.43,68.22,-1.0,166.76,-1.0
1,144,-41.92,-84.06,-75.4,-87.08,73.54,143.79,183.12,-1.0
1,145,-48.69,-77.29,-73.5,-84.17,77.56,145.66,188.01,117.11
1,146,-43.44,-85.65,-77.74,-79.37,69.6,-1.0,190.06,121.34
1,147,-46.26,-87.07,-72.68,-84.08,75.36,-1.0,177.67,122.81
1,148,-44.63,-87.11,-74.17,-88.28,72.69,-1.0,180.41,-1.0
1,149,-45.38,-80.15,-76.28,-85.64,73.73,148.95,176.89,-1.0
1,150,-45.76,-79.05,-74.13,-88.09,71.28,144.79,182.23,-1.0
1,151,-44.43,-93.39,-70.2,-85.13,70.34,-1.0,173.15,-1.0
1,152,-46.4,-82.42,-72.9,-81.85,70.68,142.07,187.56,119.88
1,153,-49.48,-83.07,-75.81,-86.29,80.23,151.73,191.93,-1.0
1,154,-44.76,-78.71,-68.65,-85.8,71.22,143.16,168.36,-1.0
1,155,-41.69,-89.8,-72.31,-88.06,67.27,-1.0,175.51,-1.0
1,156,-44.27,-84.24,-73.34,-82.07,73.66,150.37,178.14,122.84
1,157,-45.46,-78.93,-71.84,-86.24,76.29,150.65,169.7,-1.0
1,158,-43.38,-86.1,-68.75,-90.25,73.82,-1.0,179.71,-1.0
1,159,-37.74,-88.6,-75.75,-81.05,64.46,-1.0,190.69,118.59
1,160,-45.64,-78.08,-70.79,-86.47,74.36,136.79,178.0,-1.0
1,161,-44.85,-79.33,-71.71,-80.22,75.08,151.6,176.39,113.25
1,162,-44.07,-80.94,-74.81,-81.02,73.78,150.74,189.06,113.61
1,163,-49.76,-86.94,-67.58,-85.37,77.61,-1.0,164.46,-1.0
1,164,-43.13,-85.69,-70.89,-83.61,73.7,-1.0,182.8,123.33
1,165,-41.7,-80.32,-76.79,-90.16,70.93,152.51,188.33,-1.0
1,166,-44.32,-81.75,-68.74,-86.2,75.15,149.32,167.06,-1.0
1,167,-44.34,-82.47,-70.09,-85.32,70.75,154.41,173.34,-1.0
1,168,-40.04,-79.42,-71.76,-75.96,65.29,144.62,179.54,114.28
1,169,-48.79,-83.82,-65.71,-78.19,74.5,155.03,161.11,110.94
1,170,-48.89,-85.57,-75.37,-86.14,76.6,-1.0,183.83,-1.0
1,171,-45.65,-80.63,-69.85,-82.37,75.46,153.58,179.36,124.36
1,172,-45.96,-85.63,-69.29,-87.18,77.21,-1.0,178.35,-1.0
1,173,-52.43,-81.78,-70.61,-90.58,76.1,153.26,174.23,-1.0
1,174,-40.77,-90.9,-72.93,-82.98,67.72,-1.0,172.15,119.35
1,175,-48.64,-80.03,-69.77,-80.32,78.85,145.16,170.31,113.74
1,176,-51.97,-82.9,-74.86,-91.48,74.78,143.0,173.38,-1.0
1,177,-41.17,-85.87,-71.89,-80.31,71.39,-1.0,174.69,113.91
1,178,-40.04,-82.81,-74.06,-74.36,69.07,146.08,187.88,106.35
1,179,-44.86,-81.98,-65.88,-84.39,74.85,146.88,172.38,118.84
1,180,-44.34,-89.25,-74.13,-75.27,71.63,-1.0,181.02,112.4
1,181,-55.55,-84.5,-66.57,-87.68,80.82,154.65,170.06,-1.0
1,182,-45.09,-80.45,-75.94,-86.22,71.74,150.79,183.69,-1.0
1,183,-38.32,-81.11,-68.67,-90.87,64.61,150.0,175.05,-1.0
1,184,-44.65,-81.91,-76.61,-89.45,76.1,150.26,176.79,-1.0
1,185,-40.23,-85.32,-78.84,-84.46,72.03,-1.0,185.3,116.46
1,186,-43.48,-84.5,-74.35,-84.53,72.87,149.84,179.97,124.22
1,187,-48.06,-90.83,-77.21,-75.76,79.06,-1.0,189.25,111.31
1,188,-45.39,-75.44,-72.16,-84.95,76.65,139.41,186.25,125.3
1,189,-41.94,-81.92,-74.21,-85.31,70.66,143.76,172.74,-1.0
1,190,-39.65,-85.23,-71.47,-90.54,65.4,-1.0,182.82,-1.0
1,191,-38.04,-90.01,-73.13,-80.6,68.07,-1.0,170.4,112.25
1,192,-50.16,-80.02,-66.43,-85.69,76.86,146.84,163.78,-1.0
1,193,-41.58,-87.73,-66.66,-90.59,72.94,-1.0,172.83,-1.0
1,194,-47.84,-82.09,-78.95,-81.75,71.72,149.47,188.85,118.34
1,195,-39.5,-83.09,-75.3,-87.59,65.29,155.23,180.2,-1.0
1,196,-44.14,-80.2,-71.09,-76.07,73.13,153.11,173.6,108.21
1,197,-43.03,-77.16,-74.71,-94.49,70.47,146.92,179.02,-1.0
1,198,-40.27,-78.42,-71.94,-79.74,70.99,137.31,185.86,111.67
1,199,-47.5,-87.65,-76.1,-84.9,71.41,-1.0,180.12,122.16
1,200,-44.04,-84.29,-71.43,-84.19,68.69,156.32,181.05,116.3
2,1,-53.58,-82.0,-77.27,-86.47,76.75,153.27,189.93,-1.0
2,2,-53.79,-82.7,-74.4,-84.29,79.84,152.78,188.7,123.52
2,3,-56.3,-75.76,-72.58,-82.49,85.33,140.69,179.64,123.1
2,4,-48.75,-75.58,-78.66,-78.55,74.01,136.52,183.48,120.51
2,5,-57.49,-79.16,-75.25,-84.21,85.3,141.9,185.76,117.21
2,6,-48.76,-83.54,-75.69,-85.14,74.57,153.09,177.04,-1.0
2,7,-62.88,-87.54,-73.54,-82.73,86.25,-1.0,185.44,117.93
2,8,-54.21,-90.67,-69.85,-84.78,80.77,-1.0,168.42,125.98
2,9,-64.92,-78.44,-76.72,-85.66,91.88,146.66,192.69,-1.0
2,10,-46.51,-78.42,-72.74,-83.09,74.74,142.39,179.76,114.23
2,11,-63.93,-78.85,-73.76,-88.11,91.91,141.64,184.11,-1.0
2,12,-62.1,-80.94,-68.42,-86.52,89.15,143.67,167.47,-1.0
2,13,-51.64,-82.13,-75.02,-80.49,79.78,147.59,181.67,112.31
2,14,-51.34,-90.71,-78.72,-88.71,77.55,-1.0,191.7,-1.0
2,15,-54.43,-83.53,-74.15,-80.79,80.52,153.26,186.08,118.23
2,16,-61.11,-81.57,-79.02,-82.22,82.1,140.66,187.3,119.95
2,17,-54.05,-86.8,-69.85,-85.73,82.78,-1.0,167.59,-1.0
2,18,-55.94,-77.73,-71.54,-80.14,80.16,142.3,183.03,113.2
2,19,-47.22,-90.61,-74.59,-83.81,74.28,-1.0,187.89,119.18
2,20,-51.15,-83.38,-72.9,-83.38,80.67,155.09,174.01,123.92
2,21,-55.95,-82.52,-73.66,-82.06,78.59,149.02,187.45,113.38
2,22,-55.14,-83.33,-73.58,-79.72,84.69,155.78,183.52,119.8
2,23,-49.93,-74.01,-66.37,-78.18,80.48,139.59,173.12,115.77
2,24,-56.93,-81.79,-70.48,-80.18,85.24,147.6,177.62,117.43
2,25,-56.01,-81.01,-71.9,-79.18,81.97,147.82,175.73,113.38
2,26,-51.74,-79.07,-67.04,-74.66,80.78,146.95,175.17,111.64
2,27,-54.45,-74.77,-68.36,-88.54,82.83,136.98,167.24,-1.0
2,28,-53.5,-83.05,-77.96,-82.35,78.27,147.66,188.71,118.3
2,29,-53.56,-82.49,-70.74,-86.52,78.64,149.67,168.41,-1.0
2,30,-66.78,-77.05,-71.12,-89.52,88.83,140.91,184.48,-1.0
2,31,-56.75,-84.09,-77.34,-82.57,83.4,153.08,179.33,121.8
2,32,-51.37,-80.17,-71.72,-82.13,76.23,142.69,172.62,113.85
2,33,-54.44,-81.37,-66.26,-84.87,79.39,140.44,170.3,126.55
2,34,-53.87,-77.12,-74.91,-85.64,77.92,136.72,186.21,-1.0
2,35,-55.7,-78.22,-73.59,-88.82,82.6,147.03,185.52,-1.0
2,36,-55.8,-81.55,-69.26,-78.28,83.55,142.03,180.32,112.68
2,37,-63.03,-80.68,-77.86,-84.95,88.16,144.5,190.97,122.42
2,38,-52.59,-89.24,-68.55,-75.48,76.5,-1.0,171.59,110.19
2,39,-53.11,-75.86,-77.36,-85.61,75.66,144.51,176.85,-1.0
2,40,-56.27,-73.19,-81.63,-91.01,83.67,140.72,188.22,-1.0
2,41,-54.57,-80.66,-82.97,-85.73,84.39,148.99,202.04,-1.0
2,42,-47.43,-85.11,-74.6,-87.74,72.49,-1.0,182.02,-1.0
2,43,-59.61,-87.17,-72.93,-87.27,83.5,-1.0,170.71,-1.0
2,44,-57.26,-76.92,-71.94,-85.5,85.23,135.63,175.09,-1.0
2,45,-50.69,-75.57,-70.69,-78.42,79.28,147.14,168.8,113.93
2,46,-50.3,-80.9,-67.91,-90.44,77.38,142.66,174.56,-1.0
2,47,-62.83,-80.8,-74.94,-83.36,86.29,142.57,181.71,121.35
2,48,-64.39,-82.99,-64.32,-86.35,89.33,142.56,171.22,-1.0
2,49,-57.32,-84.65,-74.21,-82.62,81.31,152.43,184.79,120.59
2,50,-58.63,-80.07,-68.34,-82.52,87.88,142.51,164.91,118.39
2,51,-58.05,-90.6,-72.26,-74.77,87.42,-1.0,169.59,108.65
2,52,-44.45,-86.25,-76.68,-85.33,69.33,-1.0,188.8,-1.0
2,53,-56.44,-81.53,-78.8,-82.83,83.03,153.08,194.71,116.13
2,54,-55.93,-82.54,-78.28,-82.68,80.3,144.62,181.89,115.61
2,55,-56.31,-82.46,-72.31,-88.15,85.84,141.57,186.31,-1.0
2,56,-56.82,-85.66,-75.43,-87.81,85.02,-1.0,191.79,-1.0
2,57,-47.83,-86.06,-68.05,-82.5,73.07,-1.0,178.04,114.17
2,58,-57.54,-82.74,-71.0,-79.58,86.92,151.93,178.69,114.28
2,59,-54.33,-83.97,-70.57,-88.88,79.38,143.37,167.75,-1.0
2,60,-60.39,-83.9,-76.81,-85.44,85.03,147.17,180.66,-1.0
2,61,-61.39,-80.99,-72.83,-89.82,89.81,150.64,181.98,-1.0
2,62,-55.24,-88.63,-66.92,-82.74,78.25,-1.0,166.7,120.95
2,63,-63.49,-78.93,-78.07,-87.84,91.78,145.71,185.5,-1.0
2,64,-66.17,-81.17,-73.89,-86.93,90.27,149.83,173.53,-1.0
2,65,-58.83,-82.87,-76.24,-77.63,82.45,153.46,182.85,117.86
2,66,-59.96,-84.72,-75.27,-80.76,83.92,155.58,174.92,112.85
2,67,-53.84,-80.73,-66.58,-78.33,82.09,147.41,160.79,112.36
2,68,-56.07,-77.51,-81.54,-79.76,83.68,136.21,184.67,116.63
2,69,-55.15,-75.1,-71.04,-82.29,82.19,133.19,179.07,124.8
2,70,-56.18,-74.09,-74.45,-77.79,80.61,143.16,185.05,114.01
2,71,-49.67,-79.92,-73.78,-86.59,77.03,139.82,171.77,-1.0
2,72,-56.19,-80.54,-75.8,-81.1,85.79,145.88,188.57,113.18
2,73,-61.76,-81.88,-79.8,-85.04,83.5,147.96,198.93,-1.0
2,74,-48.1,-85.26,-73.87,-82.95,73.68,-1.0,184.33,118.25
2,75,-52.82,-87.2,-68.45,-78.16,78.63,-1.0,174.42,119.41
2,76,-54.34,-79.72,-74.44,-79.46,81.08,149.91,182.96,115.91
2,77,-51.0,-87.58,-72.37,-86.08,75.11,-1.0,176.4,-1.0
2,78,-51.3,-80.48,-71.64,-81.54,76.04,149.58,181.09,120.68
2,79,-55.71,-77.26,-77.15,-82.1,79.82,142.99,184.2,115.78
2,80,-51.88,-78.72,-77.11,-80.29,76.85,146.33,191.83,113.67
2,81,-56.28,-85.45,-78.32,-78.81,79.07,-1.0,178.73,120.0
2,82,-55.68,-76.88,-77.94,-92.76,82.93,146.68,183.42,-1.0
2,83,-55.79,-75.98,-78.92,-85.75,82.85,134.81,196.51,-1.0
2,84,-55.96,-79.98,-74.31,-80.47,85.97,139.6,186.42,118.97
2,85,-62.39,-81.88,-72.56,-85.55,86.68,153.5,186.16,-1.0
2,86,-67.54,-86.21,-72.68,-79.56,93.54,-1.0,174.25,119.45
2,87,-52.96,-85.35,-73.46,-84.92,82.15,-1.0,179.58,117.27
2,88,-58.88,-78.44,-75.95,-81.15,80.9,140.8,177.39,118.85
2,89,-60.84,-84.16,-74.38,-78.85,89.11,144.96,188.41,114.11
2,90,-51.42,-83.3,-71.54,-84.24,74.33,154.48,180.35,117.71
2,91,-50.15,-80.86,-70.41,-84.81,73.88,143.31,172.94,122.19
2,92,-52.59,-81.99,-77.13,-82.68,80.39,144.09,190.65,116.25
2,93,-54.43,-83.81,-78.82,-89.31,83.46,156.79,180.09,-1.0
2,94,-52.59,-87.45,-70.21,-79.4,78.3,-1.0,173.01,113.73
2,95,-53.16,-83.24,-67.15,-83.84,78.71,155.11,171.77,124.44
2,96,-55.76,-83.98,-76.9,-88.63,82.31,154.05,185.74,-1.0
2,97,-60.31,-78.13,-76.44,-83.38,85.98,139.56,189.84,115.59
2,98,-50.06,-83.41,-73.13,-84.38,75.45,149.63,172.36,115.11
2,99,-57.39,-80.43,-76.48,-88.61,79.86,139.19,192.39,-1.0
2,100,-57.76,-75.64,-73.81,-84.02,82.95,139.45,184.48,120.21
2,101,-48.22,-81.7,-72.11,-87.99,76.37,144.41,177.29,-1.0
2,102,-52.69,-78.88,-72.23,-86.9,79.11,146.28,180.96,-1.0
2,103,-55.5,-71.92,-71.56,-84.96,79.05,139.9,183.33,126.22
2,104,-59.97,-80.39,-70.64,-83.26,84.82,151.07,181.48,117.59
2,105,-57.94,-78.97,-77.63,-83.36,80.9,140.79,179.05,116.67
2,106,-58.05,-93.08,-71.3,-81.21,82.51,-1.0,174.19,118.55
2,107,-58.24,-75.5,-81.86,-86.76,80.28,133.82,200.12,-1.0
2,108,-57.09,-80.02,-72.67,-80.09,80.02,150.16,172.85,119.85
2,109,-51.49,-84.64,-80.32,-83.08,81.45,144.08,193.44,113.87
2,110,-53.99,-79.84,-71.33,-79.29,80.43,147.77,176.73,120.48
2,111,-60.42,-83.3,-77.49,-86.19,88.04,143.33,187.02,-1.0
2,112,-61.36,-85.35,-78.81,-81.51,87.12,-1.0,195.65,114.57
2,113,-54.73,-77.19,-75.02,-85.64,84.0,143.8,177.71,-1.0
2,114,-59.32,-84.83,-78.33,-84.91,82.01,146.59,191.71,119.78
2,115,-52.33,-73.61,-78.47,-83.81,76.83,132.06,185.54,123.24
2,116,-62.07,-76.82,-76.31,-86.42,91.3,140.6,181.51,-1.0
2,117,-52.43,-82.19,-71.62,-80.03,81.32,151.77,176.45,113.27
2,118,-62.21,-83.19,-75.13,-81.0,91.18,152.19,183.46,116.14
2,119,-56.66,-84.94,-77.33,-80.64,83.37,151.23,191.09,117.12
2,120,-54.43,-88.07,-73.96,-81.08,78.52,-1.0,173.34,112.72
2,121,-55.6,-79.13,-70.79,-81.53,81.5,144.19,175.23,120.75
2,122,-59.93,-77.48,-74.69,-86.85,85.59,145.21,189.27,-1.0
2,123,-52.65,-77.5,-67.92,-91.19,82.9,138.49,164.38,-1.0
2,124,-56.48,-83.13,-70.54,-85.28,85.94,144.96,172.48,-1.0
2,125,-57.8,-81.82,-64.46,-77.8,82.8,144.11,157.56,112.75
2,126,-53.23,-78.81,-73.83,-81.92,82.9,140.85,172.46,115.25
2,127,-60.0,-76.9,-71.39,-75.49,84.88,139.07,180.42,114.27
2,128,-57.79,-79.42,-77.25,-79.24,86.25,145.66,178.06,112.95
2,129,-53.95,-82.45,-73.26,-87.03,83.78,147.75,185.83,-1.0
2,130,-54.95,-79.68,-66.42,-85.84,77.24,149.98,165.48,-1.0
2,131,-52.5,-85.67,-78.92,-80.04,80.64,-1.0,187.13,117.96
2,132,-56.42,-77.07,-73.87,-81.13,84.13,140.96,180.78,113.4
2,133,-53.48,-82.51,-72.0,-80.36,77.72,147.16,170.22,118.58
2,134,-47.89,-74.18,-73.73,-86.3,75.77,144.13,176.52,-1.0
2,135,-59.75,-82.45,-76.94,-85.26,82.68,141.95,189.6,-1.0
2,136,-62.95,-86.39,-69.0,-83.46,87.74,-1.0,175.41,123.15
2,137,-51.79,-75.11,-73.14,-83.54,77.1,141.63,176.63,116.98
2,138,-56.02,-84.73,-68.3,-81.58,81.5,147.77,171.73,123.7
2,139,-55.08,-72.6,-73.9,-84.61,84.07,142.41,184.82,122.63
2,140,-54.88,-83.21,-72.39,-84.33,77.41,150.37,170.28,115.93
